target_id	length	eff_length	est_counts	tpm
AT1G21050.1	904	725	26	46.9727
AT1G74890.1	621	442	1	2.96338
AT1G74910.1	1969	1790	85.7351	62.7358
AT1G10910.1	2213	2034	12	7.72752
AT1G42420.1	4887	4708	0	0
AT1G31770.1	2456	2277	11	6.32761
AT1G77380.1	1882	1703	1	0.769122
AT1G51120.1	1059	880	0	0
AT1G51080.1	1009	830	4	6.31236
AT1G51085.1	226	47.5399	0	0
AT1G65845.1	489	310	12	50.7025
AT1G21010.1	818	639	6	12.2987
AT1G43800.1	1401	1222	18	19.2935
AT1G73610.1	1035	856	0	0
AT1G51090.1	767	588	2	4.45515
AT1G42410.1	2347	2168	0	0
AT1G43790.1	523	344	15	57.114
AT1G54500.1	835	656	50	99.8334
AT1G31780.1	2295	2116	25	15.4751
AT1G21020.1	3048	2869	0	0
AT1G65840.1	2183	2004	26	16.9936
AT1G51110.1	1462	1283	45	45.9405
AT1G51100.1	886	707	7	12.9685
AT1G43810.1	354	175	0	0
AT1G31790.1	1329	1150	1	1.13897
AT1G36890.1	3810	3631	0	0
AT1G79170.1	255	76.0064	0	0
AT1G65810.1	3153	2974	0	0
AT1G36915.1	1302	1123	0	0
AT1G43775.1	4255	4076	0	0
AT1G74880.1	788	609	45	96.7843
AT1G73590.1	2270	2091	9	5.63765
AT1G65760.1	1089	910	0	0
AT1G31814.1	1895	1716	5	3.81648
AT1G42396.1	945	766	0	0
AT1G09620.1	3720	3541	79	29.2221
AT1G36920.1	573	394	0	0
AT1G74870.1	1223	1044	0	0
AT1G43830.1	3745	3566	0	0
AT1G31812.1	641	462	289	819.343
AT1G10880.1	2017	1838	0	0
AT1G09600.1	2145	1966	1	0.666233
AT1G09610.1	1180	1001	0	0
AT1G65770.1	1083	904	0	0
AT1G36910.1	1460	1281	0	0
AT1G79180.1	1112	933	1	1.40387
AT1G43777.1	726	547	0	0
AT1G51060.1	674	495	56.7365	150.13
AT1G77390.1	1477	1298	1	1.0091
AT1G43780.1	1440	1261	0	0
AT1G31810.1	4209	4030	17	5.52527
AT1G65800.1	2781	2602	6	3.02033
AT1G31760.1	585	406	5	16.1307
AT1G77420.1	1565	1386	13	12.2854
AT1G42430.1	1540	1361	9	8.66152
AT1G65790.1	2532	2353	0	0
AT1G54490.1	3219	3040	41	17.6653
AT1G22540.1	2048	1869	9	6.30729
AT1G73600.2	1759	1580	53	43.9368
AT1G51055.1	486	307	0	0
AT1G10890.1	1254	1075	24	29.2424
AT1G42400.1	657	478	0	0
AT1G65780.1	3198	3019	0	0
AT1G74950.1	1280	1101	9	10.7069
AT1G70960.1	1110	931	0	0
AT1G73530.1	722	543	14	33.7705
AT1G10930.1	3916	3737	12	4.20599
AT1G70900.1	1191	1012	6	7.7657
AT1G75020.1	1345	1166	10	11.2334
AT1G65670.1	1449	1270	0	0
AT1G70895.1	856	677	0	0
AT1G31820.1	1728	1549	7	5.91911
AT1G42367.1	453	274	0	0
AT1G73510.1	804	625	1	2.0957
AT1G36756.1	390	211	0	0
AT1G20970.1	4673	4494	62	18.0704
AT1G80440.1	1465	1286	80	81.4815
AT1G10800.1	434	255	0	0
AT1G65900.1	1575	1396	5	4.69131
AT1G42365.1	5731	5552	0	0
AT1G79200.1	826	647	8	16.1955
AT1G43930.1	3005	2826	0	0
AT1G74820.1	684	505	0	0
AT1G36763.1	315	136	0	0
AT1G70940.1	2563	2384	180	98.8954
AT1G23200.1	1905	1726	7	5.31211
AT1G15940.1	3289	3110	23	9.68673
AT1G42375.1	5735	5556	0	0
AT1G36770.1	4106	3927	0	0
AT1G50960.1	1011	832	0	0
AT1G79590.1	1139	960	15	20.4659
AT1G70910.1	486	307	0	0
AT1G10810.1	1253	1074	0	0
AT1G70920.1	1037	858	0	0
AT1G42370.1	1860	1681	0	0
AT1G51290.1	1134	955	0	0
AT1G75010.1	2493	2314	13	7.35851
AT1G43940.1	516	337	0	0
AT1G21060.1	1537	1358	14	13.5032
AT1G31830.1	1953	1774	16	11.8134
AT1G15950.1	1401	1222	58	62.168
AT1G70870.1	420	241	0	0
AT1G10790.1	1011	832	1	1.5743
AT1G43970.1	720	541	0	0
AT1G65920.1	3276	3097	29	12.265
AT1G75060.1	1153	974	4	5.37912
AT1G22850.1	1283	1104	48.7109	57.7918
AT1G65640.1	1572	1393	0	0
AT1G51310.1	1769	1590	4	3.29513
AT1G36936.1	972	793	0	0
AT1G70880.1	746	567	3	6.93024
AT1G31840.1	2523	2344	1	0.558795
AT1G65630.1	1680	1501	0	0
AT1G54450.1	1838	1659	4	3.15808
AT1G21065.1	799	620	60	126.756
AT1G74800.1	2391	2212	6	3.55284
AT1G65650.1	1289	1110	21	24.7803
AT1G31835.1	626	447	3	8.7907
AT1G42360.1	1851	1672	0	0
AT1G74810.1	2052	1873	2	1.39863
AT1G43950.1	669	490	0	0
AT1G75030.1	909	730	1	1.79427
AT1G73500.1	1439	1260	2	2.07907
AT1G55610.1	3925	3746	2	0.699314
AT1G65890.1	1926	1747	2	1.4995
AT1G65660.1	1857	1678	41	32.0038
AT1G70890.1	818	639	130	266.472
AT1G51300.1	639	460	0	0
AT1G75040.1	980	801	3	4.90567
AT1G65910.1	2094	1915	0	0
AT1G43960.1	4835	4656	0	0
AT1G70885.1	309	130	0	0
AT1G75050.1	741	562	0	0
AT1G73480.1	2039	1860	85	59.8571
AT1G80450.1	854	675	2	3.88093
AT1G70950.1	1644	1465	3	2.68221
AT1G15900.1	342	163	0	0
AT1G43890.1	994	815	58	93.2138
AT1G09510.1	1078	899	0	0
AT1G09665.1	498	319	0	0
AT1G77460.1	7084	6905	11	2.0866
AT1G15910.1	2453	2274	27.4171	15.7922
AT1G09500.1	1150	971	0	0
AT1G74970.1	958	779	116	195.043
AT1G42380.1	2287	2108	0	0
AT1G73810.1	1452	1273	0	0
AT1G09520.1	1105	926	8	11.3159
AT1G51200.1	1035	856	148	226.463
AT1G74990.1	608	429	0	0
AT1G43895.1	1077	898	0	0
AT1G80460.1	1959	1780	65	47.8303
AT1G09490.1	1139	960	19	25.9234
AT1G09530.1	1957	1778	15	11.0502
AT1G20980.1	4014	3835	52	17.7602
AT1G65680.1	822	643	0	0
AT1G65690.1	1026	847	7	10.8249
AT1G09660.1	1387	1208	12	13.0114
AT1G73820.1	863	684	9	17.2344
AT1G74960.2	2285	2106	79	49.1336
AT1G51000.1	219	41.1625	0	0
AT1G73570.1	1815	1636	1	0.80062
AT1G42390.1	3102	2923	0	0
AT1G50990.1	1524	1345	0	0
AT1G73540.1	946	767	14	23.908
AT1G73550.1	509	330	0	0
AT1G10850.1	2743	2564	16.2678	8.31038
AT1G77450.1	1117	938	20	27.9278
AT1G42385.1	318	139	0	0
AT1G77440.1	1002	823	31	49.3369
AT1G73560.1	532	353	0	0
AT1G09680.1	1824	1645	0	0
AT1G22860.1	3255	3076	9	3.83236
AT1G51210.1	1302	1123	0	0
AT1G36795.1	2869	2690	0	0
AT1G65875.1	1618	1439	0	0
AT1G43910.1	1624	1445	3	2.71934
AT1G65870.1	570	391	1	3.34991
AT1G09470.1	1214	1035	1.13082	1.43107
AT1G15930.2	825	646	128	259.53
AT1G65880.1	1748	1569	0	0
AT1G51250.1	672	493	0	0
AT1G50970.1	1710	1531	7	5.9887
AT1G36790.1	2759	2580	0	0
